Sales,Ship Mode,Segment,Region,Category,Sub-Category,Order Date,Ship Date,days_to_ship
261.96,Second Class,Consumer,South,Furniture,Bookcases,2017-08-11,2017-11-11,92.0
731.94,Second Class,Consumer,South,Furniture,Chairs,2017-08-11,2017-11-11,92.0
407.976,Standard Class,Consumer,West,Office Supplies,Binders,2017-05-12,2017-10-12,153.0
1097.544,First Class,Corporate,Central,Technology,Phones,2017-08-12,2017-10-12,61.0
190.92,First Class,Corporate,Central,Furniture,Furnishings,2017-08-12,2017-10-12,61.0
1113.024,Standard Class,Corporate,West,Office Supplies,Art,2015-05-12,2015-10-12,153.0
167.968,Standard Class,Corporate,West,Technology,Phones,2015-05-12,2015-10-12,153.0
75.88,First Class,Consumer,South,Office Supplies,Paper,2017-04-06,2017-06-06,61.0
1.248,First Class,Corporate,Central,Office Supplies,Binders,2018-09-12,2018-11-12,61.0
9.708,First Class,Corporate,Central,Furniture,Furnishings,2018-09-12,2018-11-12,61.0
27.24,First Class,Corporate,Central,Office Supplies,Storage,2018-09-12,2018-11-12,61.0
200.984,Standard Class,Corporate,South,Office Supplies,Envelopes,2016-03-09,2016-08-09,153.0
158.368,Second Class,Home Office,Central,Office Supplies,Storage,2017-05-04,2017-10-04,153.0
5.682,Standard Class,Home Office,West,Office Supplies,Binders,2018-06-11,2018-12-11,183.0
96.53,Second Class,Home Office,East,Furniture,Furnishings,2018-09-11,2018-11-11,61.0
77.88,Standard Class,Corporate,Central,Office Supplies,Appliances,2017-06-09,2017-11-09,153.0
23.92,Second Class,Consumer,Central,Office Supplies,Paper,2017-01-12,2017-04-12,90.0
75.96,Standard Class,Consumer,Central,Office Supplies,Art,2017-03-11,2017-10-11,214.0
27.24,Standard Class,Consumer,Central,Office Supplies,Binders,2017-03-11,2017-10-11,214.0
787.53,Standard Class,Consumer,West,Furniture,Tables,2016-02-03,2016-06-03,121.0
157.794,Standard Class,Corporate,South,Office Supplies,Binders,2016-05-04,2016-10-04,153.0
2.388,Standard Class,Consumer,West,Office Supplies,Binders,2018-05-11,2018-12-11,214.0
243.992,Standard Class,Consumer,West,Office Supplies,Storage,2018-05-11,2018-12-11,214.0
81.424,Second Class,Home Office,West,Furniture,Chairs,2017-06-11,2017-10-11,122.0
238.56,Second Class,Home Office,West,Furniture,Furnishings,2017-06-11,2017-10-11,122.0
59.97,First Class,Corporate,East,Technology,Phones,2018-02-02,2018-05-02,89.0
78.304,First Class,Corporate,East,Office Supplies,Paper,2018-02-02,2018-05-02,89.0
21.456,First Class,Corporate,East,Office Supplies,Fasteners,2018-02-02,2018-05-02,89.0
82.8,Second Class,Corporate,East,Furniture,Furnishings,2017-05-09,2017-07-09,61.0
671.93,Standard Class,Consumer,West,Office Supplies,Storage,2016-07-09,2016-12-09,153.0
384.45,Standard Class,Corporate,Central,Technology,Phones,2017-05-12,2017-09-12,123.0
149.97,Standard Class,Corporate,Central,Technology,Phones,2017-05-12,2017-09-12,123.0
1951.84,Standard Class,Corporate,Central,Furniture,Chairs,2017-05-12,2017-09-12,123.0
171.55,Standard Class,Corporate,Central,Office Supplies,Binders,2017-05-12,2017-09-12,123.0
457.568,Second Class,Consumer,West,Furniture,Chairs,2015-01-03,2015-06-03,151.0
5.98,First Class,Consumer,West,Office Supplies,Paper,2017-11-05,2017-12-05,30.0
27.68,Standard Class,Consumer,West,Office Supplies,Binders,2017-07-11,2017-11-11,123.0
9.936,Standard Class,Consumer,Central,Office Supplies,Art,2015-08-09,2015-12-09,122.0
8159.952,Standard Class,Consumer,Central,Technology,Machines,2015-08-09,2015-12-09,122.0
275.928,Standard Class,Consumer,Central,Office Supplies,Storage,2015-08-09,2015-12-09,122.0
